City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
494,Santa Fe,AR,93.74,few clouds,-31.6333,-60.7,Conquistador Hotel
496,Kalas,IN,60.75,scattered clouds,18.1667,74.8,Hotel Durvankur
499,Nabire,ID,84.49,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
503,El Sauzal,MX,60.42,overcast clouds,31.9,-116.6833,La Rosas Hotel & Spa
504,Kulhudhuffushi,MV,81.3,scattered clouds,6.6221,73.07,Haajy Guest House 1
506,Omboue,GA,76.42,broken clouds,-1.5746,9.2618,Hotel Olako
507,Armidale,AU,71.82,clear sky,-30.5167,151.65,Abbotsleigh Motor Inn
508,Kathu,TH,76.82,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
509,Camabatela,AO,63.86,overcast clouds,-8.1881,15.375,Pensão E Restaurantes
510,Flinders,AU,74.48,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
512,Sucua,EC,69.08,overcast clouds,-2.4667,-78.1667,Hotel Orellana
519,Sinnamary,GF,76.86,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
523,Cockburn Town,TC,76.21,clear sky,21.4612,-71.1419,Osprey Beach Hotel
524,Osmena,PH,79.7,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
525,Sangmelima,CM,69.55,overcast clouds,2.9333,11.9833,gamestar hotel
526,Cairns,AU,92.95,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
527,Pouembout,NC,84.4,broken clouds,-21.1333,164.9,Camping de Tipenga
528,Chicama,PE,70.34,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
530,Tucuman,AR,78.8,haze,-26.8241,-65.2226,Dallas Hotel Tucuman
534,Bilma,NE,62.62,clear sky,18.6853,12.9164,Expeditions Ténére voyages
537,Vangaindrano,MG,75.13,overcast clouds,-23.35,47.6,Hotel Fanilo
539,Ternate,ID,82.51,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
546,The Valley,AI,76.86,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
547,Keti Bandar,PK,62.73,clear sky,24.1447,67.4497,Haji laloo memon house
548,Sitrah,BH,64.36,clear sky,26.1547,50.6206,Al Bander Resort
549,Monywa,MM,63.16,overcast clouds,22.1167,95.1333,Monywa Hotel
551,Taltal,CL,68.52,broken clouds,-25.4,-70.4833,Residencial Karime
552,Fare,PF,77.25,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
553,Warri,NG,80.35,light rain,5.5167,5.75,BON Hotel Delta
554,Mongu,ZM,66.56,moderate rain,-15.2484,23.1274,Country Lodge Mongu
555,Pacific Grove,US,68.11,clear sky,36.6177,-121.9166,Lovers Point Inn
556,Makakilo City,US,79.12,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
557,Fort Wellington,GY,76.42,overcast clouds,6.4,-57.6,TE'AMO Entertainment Park
561,Kipini,KE,76.03,scattered clouds,-2.5257,40.5262,Delta Sea Mall
562,Bundaberg,AU,82.69,scattered clouds,-24.85,152.35,Takalvan Motel
563,Nakhon Si Thammarat,TH,79.05,overcast clouds,8.25,100.0,ร้านไอซ์โมสีshop
565,Christchurch,NZ,65.03,overcast clouds,-43.5333,172.6333,The George
568,Coihaique,CL,66.15,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
569,Dawei,MM,74.3,scattered clouds,14.0833,98.2,Hotel Dawei
573,Kudahuvadhoo,MV,81.9,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
574,Ballina,AU,80.78,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
576,Saint-Joseph,RE,76.21,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
577,Berbera,SO,73.74,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
578,Matara,LK,75.6,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
579,Ankazoabo,MG,70.57,overcast clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
586,Luanda,AO,75.2,scattered clouds,-8.8368,13.2343,Hotel Fórum
587,Tecoanapa,MX,79.39,clear sky,16.5167,-98.75,Hotel Manglares
592,Waipawa,NZ,63.45,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
596,Nacala,MZ,78.28,overcast clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
600,George,ZA,62.15,overcast clouds,-33.963,22.4617,Protea Hotel by Marriott George King George
601,Majene,ID,80.13,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
602,Bagotville,AU,80.64,clear sky,-28.9833,153.4167,Broadwater Sunrise Caravan Park
605,Santa Maria,BR,76.3,clear sky,-29.6842,-53.8069,Hotel Morotin
607,Narasannapeta,IN,67.89,overcast clouds,18.4167,84.05,G.lingaraju home
610,Mossendjo,CG,69.67,overcast clouds,-2.9506,12.7261,HOTEL D'ASSISE
613,Antofagasta,CL,67.57,overcast clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
614,Amarante Do Maranhao,BR,70.2,overcast clouds,-5.5667,-46.7422,Hotéis Caçulinha
615,Magaria,NE,68.13,clear sky,12.9983,8.9099,Chez Honorable Chapiou
623,Innisfail,AU,92.88,few clouds,-17.5333,146.0333,Moondarra Motel
624,High Rock,BS,64.42,scattered clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
627,Paoua,CF,71.47,overcast clouds,7.2427,16.4406,Quartier Paoua Elien
629,Chimoio,MZ,73.26,broken clouds,-19.1164,33.4833,Predio Livraria Ahmed
635,Kang,BW,69.82,broken clouds,-23.6752,22.7876,Kang Ultra Stop
639,Sete Lagoas,BR,76.28,broken clouds,-19.4658,-44.2467,Sete Lagoas Residence Hotel Centro de Convenções
641,Arlit,NE,64.06,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
647,Manoel Urbano,BR,73.08,broken clouds,-8.8389,-69.2597,Baixada Beira Rio
648,Kyaikkami,MM,76.08,broken clouds,16.08,97.5675,St. joseph catholic church
654,Sakete,BJ,83.34,light rain,6.7362,2.6587,IBUKUN OLUWA
657,Ondjiva,AO,74.62,overcast clouds,-17.0667,15.7333,COMBUESA
658,Belem De Sao Francisco,BR,78.71,scattered clouds,-8.7539,-38.9658,Village Hotel
659,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
660,Byron Bay,AU,80.71,clear sky,-28.65,153.6167,Backpackers Inn
665,Richards Bay,ZA,71.91,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
667,Paijan,PE,70.83,overcast clouds,-7.7333,-79.3022,ALQUILO CUARTOS
668,Savelugu,GH,80.78,clear sky,9.6244,-0.8253,Yoo Naa's Palace
670,Mendota,US,61.47,overcast clouds,36.7536,-120.3816,MAA
671,Guatire,VE,76.21,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
672,Imbituba,BR,76.89,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
